"";"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"1";"It's #Chai time and we have delicious Crispy #Rava #Dosa for our evening breakfast. What are you eating ? #teatime… https://t.co/GVvpxcJBUg";FALSE;0;NA;2016-10-25 10:39:19;TRUE;NA;"790865317308223490";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"culture_recipe";0;FALSE;FALSE;NA;NA
"2";"RT @fieldsofvintage: #ChristmasTree #TeapotSet / Creamer and Sugar #christmasteapot #teatime #teasetting https://t.co/8IZrG7O0zu  #etsy #ho…";FALSE;0;NA;2016-10-25 10:22:22;FALSE;NA;"790861049104826368";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"founditauctions";1;TRUE;FALSE;NA;NA
"3";"RT @laurieshan: #CHILDHOOD art Print #Princess,#teatime #Beach #Kitty #Dolls #pretendplay #LaurieShanholtzer https://t.co/HeAU43x6dy https:…";FALSE;0;NA;2016-10-25 10:20:26;FALSE;NA;"790860562741755904";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"carmelabny";41;TRUE;FALSE;NA;NA
"4";"#ChristmasTree #TeapotSet / Creamer and Sugar #christmasteapot #teatime #teasetting https://t.co/8IZrG7O0zu  #etsy… https://t.co/oHNuyFgR2e";FALSE;0;NA;2016-10-25 10:20:07;TRUE;NA;"790860485197434880";NA;"<a href=""https://www.socialjukebox.com"" rel=""nofollow"">The Social Jukebox</a>";"fieldsofvintage";1;FALSE;FALSE;NA;NA
"5";"Cream Scone ?? 

#teatime #teabreak https://t.co/TrrefkuHI1";FALSE;1;NA;2016-10-25 10:18:18;FALSE;NA;"790860026281922560";NA;"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>";"cafepurenorwich";0;FALSE;FALSE;NA;NA
"6";"RT @laurieshan: #CHILDHOOD art Print #Princess,#teatime #Beach #Kitty #Dolls #pretendplay #LaurieShanholtzer https://t.co/HeAU43x6dy https:…";FALSE;0;NA;2016-10-25 10:17:14;FALSE;NA;"790859757766733824";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"dinesh_de_silva";41;TRUE;FALSE;NA;NA
"7";"^______^  ~ Thank you ~ always enjoy my life ~

#kaohsiung #lunch #teatime #chocolate #caffebird #smile #thank #you… https://t.co/EaCgGGZLJZ";FALSE;0;NA;2016-10-25 10:14:49;TRUE;NA;"790859151467352064";NA;"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>";"caffebird";0;FALSE;FALSE;NA;NA
"8";"RT @TeailyTea: Could Go For A Cup Of Tea Right About Now? <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>#tea #teaofthemonth #teatime #blacktea #greentea #tealover #teavana https://t.co…";FALSE;0;NA;2016-10-25 10:14:43;FALSE;NA;"790859124804235265";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"hikariphotolove";1;TRUE;FALSE;NA;NA
"9";"RT @TeailyTea: Could Go For A Cup Of Tea Right About Now? <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>#tea #teaofthemonth #teatime #blacktea #greentea #tealover #teavana https://t.co…";FALSE;0;NA;2016-10-25 10:14:17;FALSE;NA;"790859014082965504";NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";"hikariphotolove";1;TRUE;FALSE;NA;NA
"10";"Tea time be fun and exciting !!
#snacks #TeaTime #Vadodara #gujarat 
Order At:- https://t.co/0y2famsI3v https://t.co/fKcqUdcO7i";FALSE;0;NA;2016-10-25 10:11:57;FALSE;NA;"790858430563094528";NA;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"muffinscakess";0;FALSE;FALSE;NA;NA
